worker,iter,latency_ms,error
0,0,1.4260,
0,1,0.1050,
0,2,0.1350,
0,3,0.5410,
0,4,1.1520,
0,5,0.3030,
0,6,0.1590,
0,7,1.2600,
0,8,0.2290,
0,9,0.1660,
0,10,1.0970,
0,11,0.2980,
0,12,0.1630,
0,13,0.3720,
0,14,2.2880,
0,15,0.2010,
0,16,1.4570,
0,17,0.1730,
0,18,0.4200,
0,19,0.5690,
0,20,0.1450,
0,21,0.8150,
0,22,0.6450,
0,23,0.1640,
0,24,0.5580,
0,25,0.1600,
0,26,0.1330,
0,27,0.1370,
0,28,0.4630,
0,29,0.1330,
0,30,0.4950,
0,31,0.2070,
0,32,0.5090,
0,33,0.1570,
0,34,0.1340,
0,35,0.3180,
0,36,0.6080,
0,37,0.2860,
0,38,0.5910,
0,39,0.6330,
0,40,0.3220,
0,41,0.7380,
0,42,0.2730,
0,43,0.1100,
0,44,1.2080,
0,45,2.1210,
0,46,0.1440,
0,47,0.1690,
0,48,0.1280,
0,49,0.3530,
1,0,1.7590,
1,1,1.6980,
1,2,1.1090,
1,3,0.9190,
1,4,1.2150,
1,5,0.2340,
1,6,0.1610,
1,7,1.2690,
1,8,0.4150,
1,9,0.8790,
1,10,0.1950,
1,11,1.6280,
1,12,0.7110,
1,13,0.4700,
1,14,0.4300,
1,15,0.4450,
1,16,0.3860,
1,17,0.1780,
1,18,0.1420,
1,19,0.3210,
1,20,0.2750,
1,21,0.3470,
1,22,0.5450,
1,23,0.1250,
1,24,0.6550,
1,25,1.0860,
1,26,0.7950,
1,27,0.7860,
1,28,0.7220,
1,29,0.2850,
1,30,1.2880,
1,31,1.6050,
1,32,0.4200,
1,33,0.1840,
1,34,1.2320,
1,35,0.3270,
1,36,0.7270,
1,37,0.1430,
1,38,0.4510,
1,39,0.5950,
1,40,0.1140,
1,41,0.1410,
1,42,0.2590,
1,43,0.5360,
1,44,0.3450,
1,45,0.2350,
1,46,0.2100,
1,47,0.5260,
1,48,0.5610,
1,49,0.1380,
2,0,1.6050,
2,1,0.7770,
2,2,1.3640,
2,3,1.3720,
2,4,0.1970,
2,5,0.1670,
2,6,0.7220,
2,7,2.2800,
2,8,0.4700,
2,9,1.3200,
2,10,0.3630,
2,11,0.6730,
2,12,0.2320,
2,13,1.4330,
2,14,1.4100,
2,15,0.8880,
2,16,0.3920,
2,17,0.1300,
2,18,0.4410,
2,19,0.1600,
2,20,0.4090,
2,21,0.3600,
2,22,0.4720,
2,23,0.3500,
2,24,0.3650,
2,25,1.4370,
2,26,0.7140,
2,27,0.3970,
2,28,0.2940,
2,29,0.6960,
2,30,3.1180,
2,31,0.5710,
2,32,0.1700,
2,33,0.1700,
2,34,1.0770,
2,35,0.1750,
2,36,0.1790,
2,37,0.6180,
2,38,0.3370,
2,39,0.1040,
2,40,0.3170,
2,41,0.1050,
2,42,0.3160,
2,43,0.1780,
2,44,0.1110,
2,45,0.3910,
2,46,0.3600,
2,47,0.1810,
2,48,0.4290,
2,49,0.0880,
3,0,1.5060,
3,1,0.3420,
3,2,1.5710,
3,3,0.1710,
3,4,0.2400,
3,5,0.4250,
3,6,0.4000,
3,7,1.6920,
3,8,0.5380,
3,9,0.2600,
3,10,0.5110,
3,11,0.2660,
3,12,0.5120,
3,13,0.4570,
3,14,0.3740,
3,15,0.5390,
3,16,0.1680,
3,17,1.5430,
3,18,0.4400,
3,19,0.3660,
3,20,0.9350,
3,21,0.3660,
3,22,0.5290,
3,23,0.1640,
3,24,0.4000,
3,25,0.4460,
3,26,0.5030,
3,27,0.6230,
3,28,0.3310,
3,29,1.1270,
3,30,0.6780,
3,31,0.2210,
3,32,0.1640,
3,33,2.3140,
3,34,0.4810,
3,35,0.3090,
3,36,0.6020,
3,37,1.8870,
3,38,0.4640,
3,39,0.5160,
