doc	html_logo	html_css	html_diff	pdf_valid	pdf_size	docx_valid
AGENTS	LOGO	CSS	IDENT	PDF	  173955	DOCX
CLAUDE	LOGO	CSS	IDENT	PDF	  166547	DOCX
README	LOGO	CSS	IDENT	PDF	  112739	DOCX
docs/CONTINUATION	LOGO	CSS	IDENT	PDF	  177991	DOCX
docs/Fixed	LOGO	CSS	IDENT	PDF	  160330	DOCX
docs/Fixed_Summary	LOGO	CSS	IDENT	PDF	   41424	DOCX
docs/INTEGRATION	LOGO	CSS	IDENT	PDF	  105389	DOCX
docs/Issues	LOGO	CSS	IDENT	PDF	   65188	DOCX
docs/Issues_Summary	LOGO	CSS	IDENT	PDF	   38476	DOCX
docs/Status	LOGO	CSS	IDENT	PDF	  133885	DOCX
docs/Status_Summary	LOGO	CSS	IDENT	PDF	   39024	DOCX
docs/audits/full-automation-114-98-audit-2026-05-28	LOGO	CSS	IDENT	PDF	   82814	DOCX
docs/catalogue-checks/HRD-018-foundation	LOGO	CSS	IDENT	PDF	   68601	DOCX
docs/catalogue-checks/HRD-092-commons-cli	LOGO	CSS	IDENT	PDF	   57100	DOCX
docs/catalogue-checks/HRD-099-commons-auth	LOGO	CSS	IDENT	PDF	   40537	DOCX
docs/design/PARTICIPANT_ATTRIBUTION	LOGO	CSS	IDENT	PDF	   96609	DOCX
docs/guides/ATMOSPHERE_DAEMON_DEPLOY	LOGO	CSS	IDENT	PDF	  156938	DOCX
docs/guides/BHERALD	LOGO	CSS	IDENT	PDF	   86176	DOCX
docs/guides/CHERALD	LOGO	CSS	IDENT	PDF	   93274	DOCX
docs/guides/CODEGRAPH_INTEGRATION	LOGO	CSS	IDENT	PDF	   55968	DOCX
docs/guides/COMMONS_WATCH	LOGO	CSS	IDENT	PDF	   72561	DOCX
docs/guides/COMMONS_WORKABLE	LOGO	CSS	IDENT	PDF	   82308	DOCX
docs/guides/CONSTITUTION_INHERITANCE	LOGO	CSS	IDENT	PDF	   95891	NA
docs/guides/HELIXQA_INTEGRATION	LOGO	CSS	IDENT	PDF	   74330	DOCX
docs/guides/HERALD_CONSTITUTION	LOGO	CSS	IDENT	PDF	  184772	DOCX
docs/guides/IHERALD	LOGO	CSS	IDENT	PDF	   53692	DOCX
docs/guides/MESSENGER_CHANNELS	LOGO	CSS	IDENT	PDF	  163599	DOCX
docs/guides/OPERATOR_CREDENTIALS	LOGO	CSS	IDENT	PDF	  167136	DOCX
docs/guides/PHERALD	LOGO	CSS	IDENT	PDF	   73890	DOCX
docs/guides/QAHERALD	LOGO	CSS	IDENT	PDF	   63971	DOCX
docs/guides/RHERALD	LOGO	CSS	IDENT	PDF	   51511	DOCX
docs/guides/SCHERALD	LOGO	CSS	IDENT	PDF	   50814	DOCX
docs/guides/SHERALD	LOGO	CSS	IDENT	PDF	   90556	DOCX
docs/guides/TELEGRAM	LOGO	CSS	IDENT	PDF	  137501	DOCX
docs/guides/WORKABLE_ITEMS_INTEGRATION	LOGO	CSS	IDENT	PDF	  587340	DOCX
docs/guides/dispatchers/AIDER	LOGO	CSS	IDENT	PDF	   36715	DOCX
docs/guides/dispatchers/ANTHROPIC	LOGO	CSS	IDENT	PDF	   37364	DOCX
docs/guides/dispatchers/CLAUDE_CODE	LOGO	CSS	IDENT	PDF	   68850	DOCX
docs/guides/dispatchers/CURSOR	LOGO	CSS	IDENT	PDF	   36221	DOCX
docs/guides/dispatchers/GEMINI	LOGO	CSS	IDENT	PDF	   37024	DOCX
docs/guides/dispatchers/OPENCODE	LOGO	CSS	IDENT	PDF	   36540	DOCX
