worker,iter,latency_ms,error
0,0,0.7060,
0,1,0.0180,
0,2,0.0100,
0,3,0.0090,
0,4,0.0080,
0,5,0.0080,
0,6,0.7930,
0,7,0.0280,
0,8,0.1190,
0,9,0.0730,
0,10,0.0130,
0,11,0.2540,
0,12,0.0380,
0,13,0.0610,
0,14,0.0090,
0,15,0.4280,
1,0,0.9010,
1,1,0.0140,
1,2,0.0090,
1,3,0.0080,
1,4,0.3220,
1,5,0.1930,
1,6,0.8650,
1,7,0.0690,
1,8,0.0100,
1,9,0.0100,
1,10,0.0090,
1,11,0.0090,
1,12,0.3700,
1,13,0.0110,
1,14,0.0910,
1,15,0.1430,
2,0,1.5230,
2,1,0.0090,
2,2,0.0090,
2,3,0.0200,
2,4,0.0080,
2,5,0.0310,
2,6,0.0480,
2,7,0.0110,
2,8,0.0140,
2,9,0.9730,
2,10,0.1460,
2,11,0.0080,
2,12,0.0170,
2,13,0.0090,
2,14,0.0070,
2,15,0.0070,
3,0,1.1990,
3,1,0.0300,
3,2,0.1070,
3,3,1.2010,
3,4,0.0090,
3,5,0.0210,
3,6,0.0370,
3,7,0.0290,
3,8,0.0120,
3,9,0.0110,
3,10,0.0190,
3,11,0.0160,
3,12,0.0070,
3,13,0.0100,
3,14,0.0130,
3,15,0.0500,
4,0,0.9180,
4,1,0.0110,
4,2,0.7820,
4,3,0.0090,
4,4,0.0130,
4,5,0.0130,
4,6,0.0180,
4,7,0.0080,
4,8,0.5520,
4,9,0.1550,
4,10,0.0630,
4,11,0.0230,
4,12,0.0100,
4,13,0.0110,
4,14,0.0080,
4,15,0.0100,
5,0,0.9110,
5,1,0.5830,
5,2,0.1780,
5,3,0.0370,
5,4,0.0090,
5,5,0.0100,
5,6,0.1680,
5,7,0.0560,
5,8,0.0090,
5,9,0.0140,
5,10,0.0090,
5,11,0.0110,
5,12,0.0140,
5,13,0.0080,
5,14,0.0080,
5,15,0.0090,
6,0,1.3080,
6,1,0.0140,
6,2,0.0090,
6,3,0.0090,
6,4,0.0430,
6,5,0.0110,
6,6,0.0280,
6,7,0.0100,
6,8,0.0140,
6,9,0.0110,
6,10,0.0090,
6,11,0.0890,
6,12,0.0100,
6,13,0.0200,
6,14,0.0090,
6,15,0.0270,
7,0,0.8170,
7,1,0.1030,
7,2,0.7080,
7,3,0.0180,
7,4,0.0380,
7,5,0.5000,
7,6,0.0110,
7,7,0.0100,
7,8,0.0380,
7,9,0.0080,
7,10,0.0070,
7,11,0.0130,
7,12,0.0170,
7,13,0.0080,
7,14,0.0090,
7,15,0.0850,
8,0,0.8600,
8,1,0.0120,
8,2,0.0470,
8,3,0.0360,
8,4,0.7910,
8,5,0.0310,
