worker,iter,latency_ms,error
0,0,1.3030,
0,1,0.1300,
0,2,0.4340,
0,3,0.2230,
0,4,0.2960,
0,5,0.3690,
0,6,0.1720,
0,7,0.1920,
0,8,0.1660,
0,9,0.1630,
0,10,0.1630,
0,11,0.2210,
0,12,0.1640,
0,13,0.1690,
0,14,0.1600,
0,15,0.1980,
0,16,0.1540,
0,17,0.1720,
0,18,0.1610,
0,19,0.1620,
0,20,0.1930,
0,21,0.1600,
0,22,0.4040,
0,23,0.9730,
0,24,0.1900,
0,25,0.2410,
0,26,0.1480,
0,27,0.1490,
0,28,0.1530,
0,29,0.1560,
0,30,0.1510,
0,31,0.1640,
0,32,0.1460,
0,33,0.1470,
0,34,0.1490,
0,35,0.1560,
0,36,0.1490,
0,37,0.1570,
0,38,0.1530,
0,39,0.1490,
0,40,0.1630,
0,41,0.1570,
0,42,0.1530,
0,43,0.1530,
0,44,0.1530,
0,45,0.1490,
0,46,0.1550,
0,47,0.1480,
0,48,0.1450,
0,49,0.1530,
0,50,0.1460,
0,51,0.1470,
0,52,0.1520,
0,53,0.1500,
0,54,0.1560,
0,55,0.2160,
0,56,0.4570,
0,57,0.4600,
0,58,0.6630,
0,59,0.1800,
0,60,0.1520,
0,61,0.1360,
0,62,0.1400,
0,63,0.1320,
0,64,0.1360,
0,65,0.1470,
0,66,0.1320,
0,67,0.1390,
0,68,0.1320,
0,69,0.1360,
0,70,0.1360,
0,71,0.1420,
0,72,0.1420,
0,73,0.1350,
0,74,0.1650,
0,75,0.2080,
0,76,0.1480,
0,77,0.1390,
0,78,0.1420,
0,79,0.2210,
0,80,0.1770,
0,81,0.1710,
0,82,0.2090,
0,83,0.4060,
0,84,0.8030,
0,85,0.1350,
0,86,0.1620,
0,87,0.1160,
0,88,0.1220,
0,89,0.1260,
0,90,0.1190,
0,91,0.1290,
0,92,0.1260,
0,93,0.1210,
0,94,0.1200,
0,95,0.1340,
0,96,0.1990,
0,97,0.1580,
0,98,0.1200,
0,99,0.1250,
0,100,0.1250,
0,101,0.1250,
0,102,0.1180,
0,103,0.1440,
0,104,0.1550,
0,105,0.1180,
0,106,0.1270,
0,107,0.1250,
0,108,0.1210,
0,109,0.1550,
0,110,0.1860,
0,111,0.3770,
0,112,0.2710,
0,113,0.3420,
0,114,0.1280,
0,115,0.1250,
0,116,0.1270,
0,117,0.1700,
0,118,0.1770,
0,119,0.1810,
0,120,0.2070,
0,121,0.1900,
0,122,0.1690,
0,123,0.1670,
0,124,0.3510,
0,125,0.3870,
0,126,0.3170,
0,127,0.1450,
0,128,0.1190,
0,129,0.1160,
0,130,0.1190,
0,131,0.1170,
0,132,0.1180,
0,133,0.1250,
0,134,0.1170,
0,135,0.1180,
0,136,0.1360,
0,137,0.2070,
0,138,0.1420,
0,139,0.1130,
0,140,0.1180,
0,141,0.2770,
0,142,0.3530,
0,143,0.1180,
0,144,0.4760,
0,145,0.1270,
0,146,0.1210,
0,147,0.1170,
0,148,0.1200,
0,149,0.1110,
1,0,1.2670,
1,1,0.1550,
