worker,iter,latency_ms,error
0,0,1.4610,
0,1,0.2080,
0,2,0.3220,
0,3,0.1820,
0,4,0.2160,
0,5,0.2240,
0,6,0.2260,
0,7,0.1840,
0,8,0.1620,
0,9,0.1800,
0,10,0.1790,
0,11,0.1830,
0,12,0.1600,
0,13,0.1540,
0,14,0.1540,
0,15,0.1490,
0,16,0.1500,
0,17,0.1590,
0,18,0.2630,
0,19,0.2070,
0,20,0.1590,
0,21,0.1580,
0,22,0.1670,
0,23,0.1520,
0,24,0.1560,
0,25,0.1680,
0,26,0.1550,
0,27,1.4060,
0,28,0.1880,
0,29,0.1550,
0,30,0.1910,
0,31,0.1570,
0,32,0.1510,
0,33,0.1460,
0,34,0.1420,
0,35,0.1430,
0,36,0.1450,
0,37,0.1880,
0,38,0.1470,
0,39,0.1440,
0,40,0.1440,
0,41,0.1510,
0,42,0.1440,
0,43,0.1380,
0,44,0.1550,
0,45,0.1330,
0,46,0.1260,
0,47,0.1260,
0,48,0.1260,
0,49,0.2260,
0,50,0.1600,
0,51,0.1820,
0,52,0.1990,
0,53,0.1570,
0,54,0.1560,
0,55,0.1660,
0,56,0.1320,
0,57,0.2110,
0,58,0.1630,
0,59,0.9040,
0,60,0.2100,
0,61,0.1640,
0,62,0.2030,
0,63,0.1330,
0,64,0.1350,
0,65,0.1580,
0,66,0.1280,
0,67,0.1310,
0,68,0.1370,
0,69,0.1280,
0,70,0.1370,
0,71,0.1350,
0,72,0.1270,
0,73,0.1450,
0,74,0.1260,
0,75,0.1330,
0,76,0.2350,
0,77,0.1330,
0,78,0.1710,
0,79,0.1640,
0,80,0.1780,
0,81,0.1950,
0,82,0.4340,
0,83,0.6600,
0,84,0.1390,
0,85,0.1290,
0,86,0.1280,
0,87,0.1190,
0,88,0.1270,
0,89,0.1220,
0,90,0.2380,
0,91,0.1850,
0,92,0.2230,
0,93,0.1870,
0,94,0.1670,
0,95,0.1970,
0,96,0.1650,
0,97,0.1740,
0,98,0.1900,
0,99,0.1660,
0,100,0.1970,
0,101,0.2360,
0,102,0.1380,
0,103,0.1240,
0,104,0.2290,
0,105,0.1820,
0,106,0.2050,
0,107,0.9750,
0,108,0.3740,
0,109,0.1160,
0,110,0.1150,
0,111,0.1190,
0,112,0.1130,
0,113,0.1130,
0,114,0.1150,
0,115,0.1120,
0,116,0.1210,
0,117,0.1150,
0,118,0.1130,
0,119,0.1200,
0,120,0.2340,
0,121,0.1230,
0,122,0.4530,
0,123,0.5230,
0,124,0.1730,
0,125,0.1140,
0,126,0.1460,
0,127,0.1950,
0,128,0.2160,
0,129,0.1660,
0,130,0.1790,
0,131,0.1870,
0,132,0.1860,
0,133,0.1640,
0,134,0.1600,
0,135,0.1140,
0,136,0.1070,
0,137,0.1020,
0,138,0.1960,
0,139,0.1920,
0,140,0.1170,
0,141,0.1030,
0,142,0.2550,
0,143,0.1170,
0,144,0.3280,
0,145,0.1130,
0,146,0.1040,
0,147,0.1060,
0,148,0.1050,
0,149,0.1150,
1,0,1.8410,
1,1,0.2190,
1,2,0.1300,
1,3,0.1600,
1,4,0.1870,
1,5,0.2040,
1,6,0.2930,
1,7,0.1940,
1,8,0.1980,
1,9,0.1830,
1,10,0.1770,
1,11,0.1740,
1,12,0.1610,
1,13,0.1520,
1,14,0.1660,
1,15,0.1530,
1,16,0.1570,
1,17,0.1460,
1,18,0.2620,
1,19,0.1920,
1,20,0.1660,
1,21,0.1680,
1,22,0.1770,
1,23,0.1730,
1,24,0.1840,
1,25,0.1590,
1,26,0.4930,
1,27,0.8110,
1,28,0.2100,
1,29,0.1990,
1,30,0.1870,
1,31,0.2320,
1,32,0.2370,
1,33,0.2160,
1,34,0.1690,
1,35,0.2040,
1,36,0.1830,
1,37,0.1510,
1,38,0.1500,
1,39,0.1520,
1,40,0.1590,
1,41,0.1580,
1,42,0.1490,
1,43,0.1450,
1,44,0.1390,
1,45,0.1440,
1,46,0.1410,
1,47,0.1800,
1,48,0.1320,
1,49,0.1330,
1,50,0.1460,
1,51,0.1320,
1,52,0.1330,
1,53,0.1280,
1,54,0.1350,
1,55,0.1720,
1,56,0.1300,
1,57,0.1340,
1,58,0.1290,
1,59,0.3510,
1,60,0.3690,
1,61,0.3910,
1,62,0.1560,
1,63,0.1310,
1,64,0.1320,
1,65,0.1420,
1,66,0.1310,
1,67,0.1340,
1,68,0.1350,
1,69,0.1300,
1,70,0.1350,
1,71,0.1400,
1,72,0.1490,
1,73,0.2360,
1,74,0.2800,
1,75,0.1700,
1,76,0.3200,
1,77,0.2090,
1,78,0.1420,
1,79,0.1280,
1,80,0.1320,
1,81,0.1330,
1,82,0.3570,
1,83,0.1400,
1,84,0.3020,
1,85,0.3800,
1,86,0.1240,
1,87,0.1210,
1,88,0.1260,
1,89,0.1220,
1,90,0.1230,
1,91,0.1220,
1,92,0.2080,
1,93,0.1880,
1,94,0.2280,
1,95,0.1860,
1,96,0.1840,
1,97,0.1400,
1,98,0.1200,
1,99,0.1210,
1,100,0.1630,
1,101,0.1390,
1,102,0.1200,
1,103,0.1220,
1,104,0.1370,
1,105,0.1210,
1,106,0.1270,
1,107,0.1230,
1,108,0.1340,
1,109,0.1270,
1,110,0.1320,
1,111,0.1260,
1,112,0.1310,
1,113,0.3990,
1,114,0.2100,
1,115,0.1930,
1,116,0.5850,
1,117,0.1770,
1,118,0.1930,
1,119,0.1720,
1,120,0.2260,
1,121,0.2000,
1,122,0.1940,
1,123,0.1950,
1,124,0.2500,
1,125,0.3320,
1,126,0.1700,
1,127,0.2360,
1,128,0.4950,
1,129,0.1200,
1,130,0.1110,
1,131,0.1150,
1,132,0.1140,
1,133,0.1400,
1,134,0.1250,
1,135,0.1170,
1,136,0.1170,
1,137,0.1120,
1,138,0.1130,
1,139,0.1120,
1,140,0.1080,
1,141,0.1080,
1,142,0.1050,
1,143,0.1060,
1,144,0.1090,
1,145,0.1120,
1,146,0.1040,
1,147,0.1070,
1,148,0.1130,
1,149,0.1040,
2,0,1.4180,
2,1,0.1290,
2,2,0.1170,
2,3,0.1080,
2,4,0.1690,
2,5,0.2080,
2,6,0.3000,
2,7,0.2440,
2,8,0.1840,
2,9,0.1800,
2,10,0.2050,
2,11,0.2210,
2,12,0.2020,
2,13,0.1670,
2,14,0.1700,
2,15,0.1620,
2,16,0.1620,
2,17,0.1670,
2,18,0.2750,
2,19,0.1550,
2,20,0.1540,
2,21,0.1500,
2,22,0.1550,
2,23,0.1480,
2,24,0.1570,
2,25,0.1540,
2,26,0.1470,
2,27,0.1460,
2,28,1.4570,
2,29,0.1910,
2,30,0.1820,
2,31,0.3120,
2,32,0.1680,
2,33,0.1640,
2,34,0.1450,
2,35,0.1470,
2,36,0.1450,
