worker,iter,latency_ms,error
0,0,2.1340,
0,1,0.5310,
0,2,0.5570,
0,3,1.2050,
0,4,1.8960,
0,5,0.9750,
0,6,1.8550,
0,7,1.1740,
0,8,0.6400,
0,9,0.8830,
0,10,0.7150,
0,11,1.0460,
0,12,1.0250,
0,13,0.9680,
0,14,0.9270,
0,15,0.6060,
0,16,0.6800,
0,17,0.8030,
0,18,1.0170,
0,19,0.4710,
0,20,0.5630,
0,21,0.6110,
0,22,0.6380,
0,23,0.5230,
0,24,0.5060,
0,25,0.5800,
0,26,0.5260,
0,27,0.4320,
0,28,0.6440,
0,29,0.4460,
0,30,0.4540,
0,31,0.5150,
0,32,0.5650,
0,33,0.5990,
0,34,0.8980,
0,35,0.5850,
0,36,0.3710,
0,37,0.4770,
0,38,0.5340,
0,39,0.5400,
0,40,0.3630,
0,41,0.4460,
0,42,0.4930,
0,43,0.5390,
0,44,0.5330,
0,45,0.5530,
0,46,0.3810,
0,47,0.1270,
0,48,0.6860,
0,49,0.1310,
0,50,0.1340,
0,51,0.1350,
0,52,0.2130,
0,53,0.9510,
0,54,0.2480,
0,55,0.2150,
0,56,0.3660,
0,57,0.6300,
0,58,0.2690,
0,59,0.2310,
0,60,0.3760,
0,61,0.1990,
0,62,0.3340,
0,63,0.2460,
0,64,0.2650,
0,65,0.2380,
0,66,0.2150,
0,67,0.2030,
0,68,0.8480,
0,69,0.3950,
0,70,0.1980,
0,71,0.2040,
0,72,0.2940,
0,73,0.7650,
0,74,0.2090,
0,75,0.3030,
0,76,0.4220,
0,77,0.1370,
0,78,0.1270,
0,79,0.1910,
0,80,0.3200,
0,81,0.2330,
0,82,0.1970,
0,83,0.2980,
0,84,0.2870,
0,85,0.1480,
0,86,0.1570,
0,87,0.2100,
0,88,0.1350,
0,89,0.1930,
0,90,0.5660,
0,91,0.5760,
0,92,0.2200,
0,93,0.2310,
0,94,0.3120,
0,95,0.1420,
0,96,0.1900,
0,97,0.2390,
0,98,0.1310,
0,99,0.1750,
0,100,0.2070,
0,101,0.1980,
0,102,0.5120,
0,103,0.2690,
0,104,0.2350,
0,105,0.1550,
0,106,0.1780,
0,107,0.2190,
0,108,0.1690,
0,109,0.1490,
0,110,0.2740,
0,111,0.1360,
0,112,0.4930,
0,113,0.7240,
0,114,0.1670,
0,115,0.3430,
0,116,0.1000,
0,117,0.1510,
0,118,0.1180,
0,119,0.1490,
0,120,0.1190,
0,121,0.2050,
0,122,0.1760,
0,123,0.1910,
0,124,0.1970,
0,125,0.2110,
0,126,0.3610,
0,127,0.2720,
