worker,iter,latency_ms,error
0,0,2.9530,
0,1,0.7710,
0,2,0.8160,
0,3,0.5300,
0,4,0.5060,
0,5,0.7060,
0,6,0.5280,
0,7,0.8460,
0,8,0.7740,
0,9,0.4700,
0,10,1.4390,
0,11,0.6920,
0,12,0.4420,
0,13,0.4100,
0,14,0.5670,
0,15,0.8790,
0,16,0.7840,
0,17,0.7170,
0,18,0.2740,
0,19,0.3330,
0,20,0.7080,
0,21,0.8390,
0,22,1.0800,
0,23,0.3060,
0,24,0.4450,
0,25,1.0300,
0,26,0.5940,
0,27,0.5150,
0,28,0.5540,
0,29,0.4870,
0,30,0.6180,
0,31,0.5830,
0,32,1.6680,
0,33,0.3500,
0,34,0.3090,
0,35,0.2380,
0,36,1.6290,
0,37,0.8450,
0,38,0.6540,
0,39,0.4700,
0,40,0.4500,
0,41,1.1620,
0,42,1.8720,
0,43,0.2570,
0,44,0.4670,
0,45,0.5690,
0,46,1.1030,
0,47,0.2910,
0,48,0.4830,
0,49,0.8040,
0,50,1.1510,
0,51,0.7810,
0,52,1.6650,
0,53,0.5400,
0,54,0.4830,
0,55,0.3580,
0,56,0.3720,
0,57,0.4990,
0,58,0.7530,
0,59,0.6430,
0,60,0.6870,
0,61,0.7490,
0,62,1.3760,
0,63,0.3170,
0,64,0.6970,
0,65,0.6600,
0,66,0.5670,
0,67,0.4990,
0,68,0.6470,
0,69,0.5170,
0,70,0.6430,
0,71,1.1900,
0,72,0.6960,
0,73,0.3110,
0,74,0.6160,
0,75,0.3580,
0,76,0.2550,
0,77,0.5740,
0,78,0.4890,
0,79,0.4280,
0,80,0.4770,
0,81,0.2730,
0,82,1.4610,
0,83,0.4050,
0,84,0.6220,
0,85,0.3480,
0,86,0.4450,
0,87,0.3150,
0,88,0.6370,
0,89,0.3700,
0,90,0.3910,
0,91,0.2910,
0,92,0.7780,
0,93,0.6210,
0,94,0.6850,
0,95,1.0530,
0,96,0.3800,
0,97,1.0160,
0,98,0.2790,
0,99,0.2170,
0,100,0.4980,
0,101,0.8640,
0,102,0.4740,
0,103,0.6430,
0,104,0.2390,
0,105,1.0060,
0,106,1.5960,
0,107,0.3510,
0,108,0.3120,
0,109,0.5050,
0,110,0.7750,
0,111,0.5500,
0,112,0.3280,
0,113,0.6170,
0,114,0.5200,
0,115,0.3450,
0,116,1.1210,
0,117,0.3240,
0,118,0.6270,
0,119,0.3930,
0,120,0.4250,
0,121,0.3140,
0,122,0.4000,
0,123,0.5230,
0,124,0.4600,
0,125,0.3140,
0,126,0.8780,
0,127,0.4720,
0,128,0.4130,
0,129,0.3270,
0,130,0.4710,
0,131,0.3790,
0,132,0.4310,
0,133,0.3040,
0,134,0.2180,
0,135,0.3210,
0,136,0.3700,
0,137,0.5950,
0,138,0.8410,
0,139,0.3150,
0,140,0.4850,
0,141,0.3150,
0,142,0.3360,
0,143,0.4510,
0,144,0.2430,
0,145,0.3200,
0,146,0.3420,
0,147,0.5820,
0,148,1.3990,
0,149,0.3000,
0,150,0.6080,
0,151,0.3710,
0,152,0.4720,
0,153,0.6650,
0,154,0.5290,
0,155,0.2110,
0,156,0.7830,
0,157,1.2170,
0,158,0.5620,
0,159,0.2920,
0,160,0.4410,
0,161,0.3880,
0,162,0.4520,
0,163,0.6340,
0,164,1.0050,
0,165,0.5150,
0,166,0.2950,
0,167,1.6120,
0,168,0.3010,
0,169,0.5060,
0,170,0.4270,
0,171,0.3810,
0,172,0.5180,
0,173,0.2690,
0,174,0.4290,
0,175,0.2780,
0,176,1.9630,
0,177,0.5060,
0,178,0.6180,
0,179,0.5740,
0,180,0.3950,
0,181,0.5990,
0,182,0.5030,
0,183,0.3560,
0,184,0.3400,
0,185,0.3940,
0,186,0.4650,
0,187,0.6250,
0,188,1.0360,
0,189,0.2730,
0,190,0.5170,
0,191,0.4260,
0,192,0.7890,
0,193,0.8050,
0,194,0.4670,
0,195,0.5430,
0,196,0.7890,
0,197,0.3730,
0,198,0.6770,
0,199,1.2910,
1,0,2.2720,
1,1,1.0210,
1,2,0.7130,
1,3,0.9480,
1,4,0.4960,
1,5,0.5160,
1,6,0.8080,
1,7,0.5510,
1,8,0.5780,
1,9,0.6780,
1,10,0.6690,
1,11,1.2760,
1,12,0.5970,
1,13,0.4200,
1,14,0.3090,
1,15,0.5670,
1,16,0.3300,
1,17,0.7600,
1,18,0.3590,
1,19,1.7370,
1,20,0.6840,
1,21,1.7020,
1,22,0.7420,
1,23,0.3430,
1,24,0.6940,
1,25,0.6660,
1,26,0.4730,
1,27,0.4910,
1,28,0.4680,
1,29,0.5780,
1,30,0.8130,
1,31,0.2640,
1,32,1.4740,
1,33,0.9630,
1,34,0.5690,
1,35,0.3340,
1,36,0.3630,
1,37,0.5370,
1,38,0.2120,
1,39,1.0310,
1,40,0.4960,
1,41,0.3480,
1,42,0.8470,
1,43,1.3820,
1,44,1.1670,
1,45,0.4460,
1,46,0.9000,
1,47,0.7190,
1,48,0.3450,
1,49,0.9430,
1,50,0.5800,
1,51,0.2610,
1,52,0.1910,
1,53,0.4380,
1,54,0.6650,
1,55,2.1530,
1,56,0.3510,
1,57,0.5790,
1,58,0.2800,
1,59,0.3380,
1,60,0.3460,
1,61,1.0500,
1,62,0.3120,
1,63,0.6790,
1,64,1.7120,
1,65,0.4790,
1,66,0.4860,
1,67,0.5810,
1,68,0.5790,
1,69,0.4170,
1,70,0.5730,
1,71,0.4990,
1,72,0.4440,
1,73,1.8110,
1,74,0.4190,
1,75,0.4500,
1,76,0.7130,
1,77,0.3440,
1,78,0.3060,
1,79,0.2630,
1,80,0.7860,
1,81,0.3520,
1,82,0.4170,
1,83,0.3700,
1,84,0.5330,
1,85,1.4810,
1,86,0.3350,
1,87,0.3880,
1,88,0.6350,
1,89,0.4800,
1,90,0.3630,
1,91,0.3840,
1,92,0.2890,
1,93,0.7020,
1,94,0.1650,
1,95,0.7140,
1,96,0.3930,
1,97,0.4710,
1,98,1.5020,
1,99,0.6380,
1,100,0.7920,
1,101,0.4130,
1,102,0.5190,
1,103,0.3080,
1,104,1.0110,
1,105,0.3740,
1,106,0.4180,
1,107,0.3420,
1,108,0.1910,
1,109,1.2600,
1,110,0.5380,
1,111,0.6640,
1,112,0.3060,
1,113,0.6220,
1,114,0.5060,
1,115,0.7930,
1,116,0.6710,
1,117,0.3480,
1,118,0.2810,
1,119,0.2510,
1,120,1.3040,
1,121,0.4640,
1,122,0.3920,
1,123,0.4390,
1,124,0.3980,
1,125,0.3440,
1,126,0.2780,
1,127,0.2700,
1,128,0.2430,
1,129,0.4400,
1,130,0.2030,
1,131,1.4290,
1,132,0.2470,
1,133,0.4110,
1,134,0.3410,
1,135,0.4850,
1,136,0.3230,
1,137,0.5720,
1,138,0.3700,
1,139,0.3540,
1,140,0.3400,
1,141,1.4340,
1,142,0.4000,
1,143,0.4650,
1,144,0.3480,
1,145,0.5130,
1,146,0.4610,
1,147,0.3600,
1,148,0.2720,
1,149,0.9440,
1,150,1.2120,
1,151,0.3760,
1,152,0.4520,
1,153,0.5320,
1,154,0.2280,
1,155,0.4370,
1,156,0.1800,
1,157,0.5050,
1,158,0.4000,
1,159,0.7670,
1,160,1.5180,
1,161,0.8740,
1,162,0.3900,
1,163,0.6230,
1,164,0.4630,
1,165,0.4710,
1,166,0.3720,
1,167,0.5020,
1,168,0.4040,
1,169,1.8820,
1,170,0.3850,
1,171,0.3420,
1,172,0.2430,
1,173,0.3460,
1,174,0.5380,
1,175,0.3650,
1,176,0.5960,
1,177,0.5980,
1,178,0.3330,
1,179,1.7470,
1,180,0.9380,
1,181,0.8230,
1,182,0.1940,
1,183,0.4060,
1,184,0.4540,
1,185,0.5170,
1,186,0.2690,
1,187,0.5110,
1,188,1.6550,
1,189,0.5530,
1,190,0.2560,
1,191,0.6650,
1,192,0.3770,
