worker,iter,latency_ms,error
0,0,3.0040,
0,1,0.3600,
0,2,0.1860,
0,3,0.2280,
0,4,0.1830,
0,5,0.3030,
0,6,0.3900,
0,7,0.2110,
0,8,0.2210,
0,9,0.4440,
0,10,0.4810,
0,11,0.1840,
0,12,0.1760,
0,13,0.1750,
0,14,0.1720,
0,15,0.4340,
0,16,0.3860,
0,17,0.2180,
0,18,0.1950,
0,19,0.4340,
0,20,0.1990,
0,21,2.0270,
0,22,0.3840,
0,23,0.3230,
0,24,0.1970,
0,25,0.1520,
0,26,0.3000,
0,27,0.2700,
0,28,0.2130,
0,29,0.1700,
0,30,0.1810,
0,31,0.4990,
0,32,0.2230,
0,33,0.2270,
0,34,0.2120,
0,35,0.3230,
0,36,0.1910,
0,37,0.1610,
0,38,0.5160,
0,39,0.8030,
1,0,3.1120,
1,1,0.3270,
1,2,0.3290,
1,3,0.1930,
1,4,0.2680,
1,5,0.3290,
1,6,0.5270,
1,7,0.1830,
1,8,0.4210,
1,9,0.2450,
1,10,0.1780,
1,11,0.4170,
1,12,0.1880,
1,13,0.2200,
1,14,0.3080,
1,15,0.2850,
1,16,0.4160,
1,17,0.2020,
1,18,0.2350,
1,19,0.1770,
1,20,0.2590,
1,21,1.6360,
1,22,0.2090,
1,23,0.3820,
1,24,0.1490,
1,25,0.2330,
1,26,0.2330,
1,27,0.1560,
1,28,0.3420,
1,29,0.2500,
1,30,0.1750,
1,31,0.3790,
1,32,0.5760,
1,33,0.2400,
1,34,0.1470,
1,35,0.1440,
1,36,0.2170,
1,37,0.2490,
1,38,0.1940,
1,39,0.4060,
2,0,2.5550,
2,1,0.1950,
2,2,0.2200,
2,3,0.3990,
2,4,0.4600,
2,5,0.4890,
2,6,0.3000,
2,7,0.4630,
2,8,0.6900,
2,9,0.2010,
2,10,0.1830,
2,11,0.1730,
2,12,0.3530,
2,13,0.2440,
2,14,0.4590,
2,15,0.3510,
2,16,0.2080,
2,17,0.6760,
2,18,1.1920,
2,19,0.1550,
2,20,0.1530,
2,21,0.3090,
2,22,0.2700,
2,23,0.4300,
2,24,0.1820,
2,25,0.2920,
2,26,0.5320,
2,27,0.3760,
2,28,0.2400,
2,29,0.2080,
2,30,0.2290,
2,31,0.3220,
2,32,0.1890,
2,33,0.1670,
2,34,0.2450,
2,35,0.1630,
2,36,0.1830,
2,37,0.3960,
2,38,0.2040,
2,39,0.5050,
3,0,2.8520,
3,1,0.4660,
3,2,0.2080,
3,3,0.3750,
3,4,0.2820,
3,5,0.2460,
3,6,0.1900,
3,7,0.6240,
3,8,0.3990,
3,9,0.4740,
3,10,0.1690,
3,11,0.4270,
3,12,0.7900,
3,13,0.1970,
3,14,0.4480,
3,15,0.2010,
3,16,0.4850,
3,17,2.0160,
3,18,0.2530,
3,19,0.2000,
3,20,0.2280,
3,21,0.2440,
3,22,0.1520,
3,23,0.6520,
3,24,0.4740,
3,25,0.1770,
3,26,0.4840,
3,27,0.1940,
3,28,0.1850,
3,29,0.1520,
3,30,0.1930,
3,31,0.2040,
3,32,0.3050,
3,33,0.3010,
3,34,0.6250,
3,35,0.5860,
3,36,0.2620,
3,37,0.1970,
3,38,0.1490,
3,39,0.1300,
4,0,3.0830,
4,1,0.2580,
4,2,0.6120,
4,3,0.2520,
4,4,0.5080,
4,5,0.2350,
4,6,0.3370,
4,7,0.4130,
4,8,0.3350,
4,9,0.3760,
4,10,0.2790,
4,11,0.2750,
4,12,0.3960,
4,13,0.2310,
4,14,0.1790,
4,15,0.3750,
4,16,0.1570,
4,17,0.2810,
4,18,0.1800,
4,19,2.2070,
4,20,0.6690,
4,21,0.2310,
4,22,0.3310,
4,23,0.2450,
4,24,0.1510,
4,25,0.2690,
4,26,0.5800,
4,27,0.1740,
4,28,0.5600,
4,29,0.2410,
4,30,0.4880,
4,31,0.1890,
4,32,0.1890,
4,33,0.1710,
4,34,0.4340,
4,35,0.1990,
4,36,0.5960,
4,37,0.3480,
4,38,0.1930,
4,39,0.1750,
5,0,3.1780,
5,1,0.5640,
5,2,0.3920,
5,3,0.3290,
5,4,0.2030,
5,5,0.1710,
5,6,0.1810,
5,7,0.5750,
5,8,0.2650,
5,9,0.6720,
5,10,0.1620,
5,11,0.3890,
5,12,0.1820,
5,13,0.2410,
5,14,0.1680,
5,15,0.1760,
5,16,0.3530,
5,17,0.3320,
5,18,0.1740,
5,19,0.4760,
5,20,1.3130,
5,21,0.2380,
5,22,0.1660,
5,23,0.5130,
5,24,0.2650,
5,25,0.1850,
5,26,0.2790,
5,27,0.2800,
5,28,0.2090,
5,29,0.3630,
5,30,0.6520,
5,31,0.3970,
5,32,0.1720,
5,33,0.1650,
5,34,0.1490,
5,35,0.1440,
5,36,0.2660,
5,37,0.2120,
5,38,0.2690,
5,39,0.5580,
6,0,2.9210,
6,1,0.2280,
6,2,0.6160,
6,3,0.3410,
6,4,0.3080,
6,5,0.5440,
6,6,0.2100,
6,7,0.4300,
