worker,iter,latency_ms,error
0,0,19.4760,
0,1,80.5290,
0,2,34.9110,
0,3,69.0470,
0,4,47.0190,
0,5,62.6890,
0,6,65.1840,
0,7,50.7280,
0,8,53.2190,
0,9,97.2740,
0,10,49.9400,
0,11,58.9180,
0,12,82.0250,
0,13,71.7840,
0,14,71.9040,
0,15,54.3360,
0,16,69.9460,
0,17,81.2510,
0,18,67.7800,
0,19,68.9460,
0,20,61.9640,
0,21,51.0580,
0,22,76.6610,
0,23,59.9060,
0,24,116.9010,
1,0,83.9850,
1,1,50.6020,
1,2,36.7100,
1,3,63.4450,
1,4,59.5690,
1,5,58.3790,
1,6,67.7980,
1,7,49.0730,
1,8,65.0990,
1,9,61.8610,
1,10,88.5370,
1,11,67.9810,
1,12,62.6330,
1,13,68.9280,
1,14,77.1570,
1,15,55.8780,
1,16,66.0780,
1,17,65.9460,
1,18,59.8810,
1,19,58.4030,
1,20,55.4950,
1,21,36.1170,
1,22,86.5020,
1,23,55.7350,
1,24,113.9140,
2,0,36.8050,
2,1,52.3400,
2,2,34.1440,
2,3,53.9620,
2,4,34.7910,
2,5,68.8040,
2,6,62.7590,
2,7,76.7290,
2,8,59.3690,
2,9,70.0580,
2,10,81.4170,
2,11,24.7020,
2,12,76.7060,
2,13,63.6590,
2,14,61.6320,
2,15,74.1920,
2,16,80.5110,
2,17,60.5990,
2,18,59.5500,
2,19,76.8000,
2,20,72.3240,
2,21,84.1940,
2,22,81.4080,
2,23,55.3020,
2,24,87.2920,
3,0,54.3610,
3,1,40.9630,
3,2,36.6620,
3,3,111.2250,
3,4,61.0860,
3,5,48.5290,
3,6,57.9450,
3,7,52.4330,
3,8,49.6280,
3,9,67.5540,
3,10,62.2070,
3,11,72.9030,
3,12,137.2950,
3,13,74.7630,
3,14,68.5850,
3,15,61.4430,
3,16,56.0930,
3,17,64.1550,
3,18,76.2020,
3,19,99.1390,
3,20,93.8490,
3,21,59.5580,
3,22,128.7800,
3,23,10.4420,
3,24,8.2710,
4,0,24.6370,
4,1,74.7270,
4,2,64.6320,
4,3,34.2200,
4,4,43.8410,
4,5,60.7620,
