worker,iter,latency_ms,error
0,0,3.3990,
0,1,5.7300,
0,2,6.6490,
0,3,4.8900,
0,4,5.2050,
0,5,3.2730,
0,6,2.6440,
0,7,2.0100,
0,8,1.9580,
0,9,3.7480,
0,10,1.2540,
0,11,2.7720,
0,12,2.8990,
0,13,3.3350,
0,14,2.7880,
0,15,3.1370,
0,16,2.0230,
0,17,2.1140,
0,18,1.1500,
0,19,1.5180,
1,0,6.2430,
1,1,3.2050,
1,2,2.4670,
1,3,2.2090,
1,4,5.2630,
1,5,2.1100,
1,6,5.6520,
1,7,3.3860,
1,8,4.6030,
1,9,7.1400,
1,10,5.3610,
1,11,1.6510,
1,12,2.4600,
1,13,1.9640,
1,14,3.1490,
1,15,4.0610,
1,16,1.1930,
1,17,1.1010,
1,18,1.2240,
1,19,1.0200,
2,0,7.0080,
2,1,5.9910,
2,2,3.8960,
2,3,3.4870,
2,4,5.3760,
2,5,2.0980,
2,6,2.6860,
2,7,5.3590,
2,8,2.8890,
2,9,1.3750,
2,10,3.1000,
2,11,3.6140,
2,12,0.8490,
2,13,6.0260,
2,14,2.8600,
2,15,2.1150,
2,16,3.3420,
2,17,1.2140,
2,18,1.5450,
2,19,0.8410,
3,0,7.2670,
3,1,3.2660,
3,2,2.9750,
3,3,4.0160,
3,4,3.5680,
3,5,3.1100,
3,6,1.4820,
3,7,3.3680,
3,8,2.8530,
3,9,2.4070,
3,10,6.3890,
3,11,3.0170,
3,12,1.3840,
3,13,2.0210,
3,14,1.4560,
3,15,3.1440,
3,16,2.0220,
3,17,1.2580,
3,18,1.6940,
3,19,4.4020,
4,0,6.3850,
4,1,4.4190,
4,2,4.5610,
4,3,1.7750,
4,4,5.5920,
4,5,3.5450,
4,6,1.2190,
4,7,2.9500,
4,8,4.9940,
4,9,4.7490,
4,10,2.5350,
4,11,2.0170,
4,12,3.7010,
4,13,1.6540,
4,14,2.3830,
4,15,2.5730,
4,16,2.7260,
4,17,2.0790,
4,18,1.2860,
4,19,2.6010,
5,0,8.3320,
5,1,4.4790,
5,2,1.0410,
5,3,3.0090,
5,4,3.7040,
5,5,2.2410,
5,6,5.4840,
5,7,3.5450,
5,8,3.1150,
5,9,3.2170,
5,10,1.7090,
5,11,2.5830,
5,12,3.5290,
5,13,1.8510,
5,14,3.3330,
5,15,2.6600,
5,16,3.6440,
5,17,2.3580,
5,18,1.6950,
5,19,1.8800,
6,0,7.3310,
6,1,3.4160,
6,2,2.8150,
6,3,1.8430,
6,4,3.4590,
6,5,2.2230,
6,6,2.9180,
6,7,4.0440,
6,8,2.4080,
6,9,5.9760,
6,10,3.2090,
6,11,2.8490,
6,12,2.2530,
6,13,2.1810,
6,14,1.5480,
6,15,2.6360,
6,16,1.3480,
6,17,2.0970,
6,18,4.1820,
6,19,2.6360,
7,0,8.2100,
7,1,2.4710,
7,2,9.7960,
7,3,4.3940,
7,4,2.6710,
7,5,2.9500,
7,6,3.9680,
7,7,1.2940,
7,8,1.5110,
7,9,2.3710,
7,10,1.7880,
7,11,3.5560,
7,12,3.5360,
7,13,1.9260,
7,14,1.9900,
7,15,3.4040,
7,16,5.1030,
7,17,1.1150,
7,18,1.1170,
7,19,1.1020,
8,0,6.8820,
8,1,2.3900,
8,2,6.2050,
8,3,3.9870,
8,4,6.6540,
8,5,2.0560,
8,6,5.2280,
8,7,1.9380,
8,8,4.1540,
8,9,3.3140,
8,10,4.1790,
8,11,1.8710,
8,12,2.6330,
8,13,2.8640,
8,14,2.4380,
8,15,2.0810,
8,16,1.1940,
8,17,2.5070,
8,18,1.4090,
8,19,0.9160,
9,0,7.2110,
9,1,5.6400,
9,2,2.1430,
9,3,5.5660,
9,4,3.2570,
9,5,4.3650,
9,6,6.0350,
9,7,0.7820,
9,8,5.7390,
9,9,1.7240,
9,10,2.8820,
9,11,3.2310,
9,12,2.5850,
9,13,2.6280,
9,14,2.9780,
9,15,1.8900,
9,16,1.5240,
9,17,2.0530,
9,18,2.1450,
9,19,1.0570,
10,0,8.5880,
10,1,3.2340,
10,2,7.5880,
10,3,1.8870,
10,4,4.9220,
10,5,5.6930,
10,6,5.4310,
10,7,2.2500,
10,8,4.8880,
10,9,1.4910,
10,10,2.5570,
10,11,2.3860,
10,12,2.9770,
10,13,3.9650,
10,14,1.9600,
10,15,1.5730,
10,16,1.9060,
10,17,1.3860,
10,18,0.9160,
10,19,0.3610,
11,0,8.4570,
11,1,5.3890,
11,2,7.6250,
11,3,3.2120,
